IUSI;NOME DA USINA;REE;ORDEM;IMPRIME
1;CAMARGOS;10;1;
2;ITUTINGA;10;2;
4;FUNIL-GRANDE;10;3;
6;FURNAS;10;4;1
7;M. DE MORAES;10;5;
8;ESTREITO;10;6;
9;JAGUARA;10;7;
10;IGARAPAVA;10;8;
11;VOLTA GRANDE;10;9;
12;P. COLOMBIA;10;10;
17;MARIMBONDO;10;11;1
18;A. VERMELHA;10;12;1
43;TRES IRMAOS;10;13;1
34;I. SOLTEIRA;10;14;1
45;JUPIA;10;15;1
46;P. PRIMAVERA;10;16;1
66;ITAIPU;5;17;1
25;NOVA PONTE;10;18;1
26;MIRANDA;10;19;
27;CAPIM BRANC1;10;20;
28;CAPIM BRANC2;10;21;
31;ITUMBIARA;10;22;1
32;CACH.DOURADA;10;23;
33;SAO SIMAO;10;24;1
29;CORUMBA IV;10;25;
203;CORUMBA III;10;26;
30;CORUMBA I;10;27;
20;BATALHA;10;28;
21;SERRA FACAO;10;29;
24;EMBORCACAO;10;30;
14;CACONDE;10;31;
15;E. DA CUNHA;10;32;
16;A.S.OLIVEIRA;10;33;
262;SALTO;10;34;
241;SLT VERDINHO;10;35;
290;ESPORA;10;36;
311;CACU;10;37;
312;B. COQUEIROS;10;38;
315;FOZ R. CLARO;10;39;
153;SAO DOMINGOS;10;40;
37;BARRA BONITA;10;41;
38;A.S. LIMA;10;42;
39;IBITINGA;10;43;
40;PROMISSAO;10;44;
42;NAVANHANDAVA;10;45;
74;G.B. MUNHOZ;11;46;1
76;SEGREDO;11;47;1
77;SLT.SANTIAGO;11;48;1
78;SALTO OSORIO;11;49;
82;SALTO CAXIAS;11;50;
83;BAIXO IGUACU;11;51;1
71;STA CLARA PR;11;52;
72;FUNDAO;11;53;
73;JORDAO;11;54;
57;MAUA;11;55;
47;A.A. LAYDNER;12;56;1
48;PIRAJU;12;57;
49;CHAVANTES;12;58;1
249;OURINHOS;12;59;
50;L.N. GARCEZ;12;60;
51;CANOAS II;12;61;
52;CANOAS I;12;62;
61;CAPIVARA;12;63;1
62;TAQUARUCU;12;64;
63;ROSANA;12;65;1
117;GUARAPIRANGA;1;66;
118;BILLINGS;1;67;
119;HENRY BORDEN;1;68;
120;JAGUARI;1;69;
121;PARAIBUNA;1;70;
122;SANTA BRANCA;1;71;
123;FUNIL;1;72;
124;LAJES;1;73;
126;PICADA;1;74;
127;SOBRAGI;1;75;
129;SIMPLICIO;1;76;
130;ILHA POMBOS;1;77;
131;NILO PECANHA;1;78;
132;FONTES;1;79;
133;P. PASSOS;1;80;
134;SALTO GRANDE;1;81;
135;P. ESTRELA;1;82;
139;CANDONGA;1;83;
141;BAGUARI;1;84;
143;AIMORES;1;85;
144;MASCARENHAS;1;86;
148;IRAPE;1;87;
192;GUILMAN-AMOR;1;88;
193;SA CARVALHO;1;89;
195;JAURU;1;90;
217;ROSAL;1;91;
278;MANSO;1;92;
281;PONTE PEDRA;1;93;
283;STA CLARA MG;1;94;
304;ITIQUIRA I;1;95;
305;ITIQUIRA II;1;96;
154;ITAPEBI;3;97;
162;QUEIMADO;1;98;
155;RETIRO BAIXO;1;99;
156;TRES MARIAS;1;100;1
169;SOBRADINHO;3;101;1
172;ITAPARICA;3;102;1
176;COMP PAF-MOX;3;103;
178;XINGO;3;104;1
189;P. CAVALO;3;105;
190;B. ESPERANCA;3;106;
251;SERRA MESA;1;107;1
252;CANA BRAVA;1;108;
253;SAO SALVADOR;1;109;
257;PEIXE ANGIC;1;110;1
261;LAJEADO;1;111;
267;ESTREITO TOC;4;112;
275;TUCURUI;4;113;1
86;BARRA GRANDE;2;114;
89;GARIBALDI;2;115;1
90;CAMPOS NOVOS;2;116;
91;MACHADINHO;2;117;1
92;ITA;2;118;
103;FOZ CHAPECO;2;119;
93;PASSO FUNDO;2;120;1
94;MONJOLINHO;2;121;
95;QUEBRA QUEIX;2;122;
101;SAO JOSE;2;123;
102;PASSO S JOAO;2;124;
97;CASTRO ALVES;2;125;
98;MONTE CLARO;2;126;
99;14 DE JULHO;2;127;
110;ERNESTINA;2;128;
111;PASSO REAL;2;129;1
112;JACUI;2;130;
113;ITAUBA;2;131;
114;D. FRANCISCA;2;132;
115;G.P. SOUZA;2;133;
215;SALTO PILAO;2;134;
196;GUAPORE;6;135;
276;RONDON II;6;136;
279;SAMUEL;6;137;
285;JIRAU;6;138;
287;STO ANTONIO;6;139;
310;DARDANELOS;6;140;
227;SINOP;7;141;
228;COLIDER;7;142;
229;TELES PIRES;7;143;
230;SAO MANOEL;7;144;
272;CURUA-UNA;8;145;
288;BELO MONTE;8;146;
314;PIMENTAL;8;147;
204;CACH.CALDEIR;9;148;
280;COARACY NUNE;9;149;
284;FERREIRA GOM;9;150;
277;BALBINA;9;151;
286;STO ANT JARI;9;152;
